,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
89285,32,1,2021-09-11 12:51:42,2021-09-11 13:11:12,0 days 00:00:00,-30.610856086005214,40.39977505424719,10267.684475245085,253.7032555561981,False,0.0,0.0,0.0,786.6719456736322,203.52402029104925,0.0,228.45503,0.00026143919,25370.32555561981,1.4286883410473703,0.38687241926771565,0.00018299245371613363,1117402791989.8738,7.930569927309562e-05,-4.100984,-40.482933,-0.14457226,0.8932917,229.99976,-3.6477933,-39.300262,0.0028602120927027387,0.013092032167407204,0.0,1065.3912924391575,740.67883,324.712459431345,-179.34662,179.34662,125747.45867399378,48648.22355397507,9.650901785291454e-06,0.019250055842486246,54.22985077686728,2.638583534695983,8886086.476600638,0.7632773387842349,3.5835084132764323e-16,1.908962184396174e-05,-44.586636,12.054237,-32.5324,True,0.0,1169,0.0,702751.8545695908,4474870.470483287,,
89286,39,1,2021-09-11 12:51:49,2021-09-11 13:11:12,0 days 00:00:00,-30.630414200755837,40.39529048266171,10290.167999522677,252.82434186530077,False,0.0,0.0,0.0,768.0755093304688,197.34061062771218,0.0,228.2772,0.0002573584,25282.434186530078,1.4312199373629955,0.385832500248687,0.00017981750031415805,1341221189494.929,7.871003236644658e-05,-4.154963,-40.53582,-0.14739504,0.8955561,229.81763,-3.7023835,-39.357475,0.002894645938397673,0.013201806719622601,0.0,1065.379601161388,742.2802,323.09938875904436,-179.3416,179.3416,119044.75528286648,45931.33557228146,8.886422095619935e-06,0.016731907951339237,51.41221388127974,2.3902493508845533,11266529.015142294,0.7770767054632427,2.789516506608184e-16,1.8664991215153125e-05,-43.588947,14.159874,-29.429073,True,0.0,1169,0.0,701105.2762327034,4474327.921089409,,
89287,41,1,2021-09-11 12:51:51,2021-09-11 13:11:12,0 days 00:19:21,-30.636258543345917,40.393745598925676,10299.346065872665,252.46626731819805,True,245.9784287303266,-0.24310269813453197,-0.970000555752269,1957.5759571546573,185.8578075563964,35894.81930888933,228.20457,0.00025563638,25246.626731819804,1.4318575563516984,0.38540866578999144,0.00017853478159327832,1767248984836.143,7.821926034256888e-05,-4.1770678,-40.566296,-0.14830016,0.895944,229.74326,-3.724732,-39.3896,0.002908595381420582,0.01349009695448125,0.01103731535512044,1065.3788340438352,742.76416,322.61467388758524,-179.34262,179.34262,175467.15663929406,67626.56273031376,9.202202324817012e-06,0.017768114336716722,46.599010036498406,1.8873457666828093,10071679.616197677,0.4231715599756669,2.155107392531215e-16,2.470677487563259e-05,-23.778221,8.849067,-14.929154,True,-7182521.664819897,1169,0.3225,700613.8126739609,4474143.13248787,,
89288,42,1,2021-09-11 12:51:52,2021-09-11 13:11:12,0 days 00:00:00,-30.639075773697357,40.393207820560086,10301.056464126874,252.39958298509097,False,0.0,0.0,0.0,757.131698078588,191.98711658717835,0.0,228.1912,0.0002553556,25239.958298509096,1.4321673753377926,0.3853294774172826,0.00017830011759853917,1817211299125.1086,7.85814633715993e-05,-4.1811743,-40.56459,-0.14866856,0.89644575,229.72954,-3.7288837,-39.388283,0.002911281898315963,0.013319717863141001,0.0,1065.3756794058863,742.99695,322.37873116369883,-179.3427,179.3427,114165.10914377653,43991.18184565844,7.911778547780807e-06,0.013723523677233408,49.09521858028906,2.1251896191494137,15917396.416067544,0.8644684146894366,1.891125475048426e-16,1.79114205826286e-05,-48.94461,14.921427,-34.023186,True,0.0,1169,0.0,700376.2838205327,4474077.039300464,,
89289,49,1,2021-09-11 12:51:59,2021-09-11 13:11:12,0 days 00:19:13,-30.658857551049294,40.38893604799877,10314.621597102469,251.87121586978924,True,231.16367705637427,-0.21379629914724144,-0.976878263895222,1986.061628959865,186.28234111997278,36669.10697103935,228.08482,0.0002530582,25187.121586978923,1.4342292139134016,0.3847021515343901,0.0001764419597788262,1764910065156.4668,7.784283438908038e-05,-4.214231,-40.561543,-0.15130058,0.8998236,229.62048,-3.7621672,-39.388226,0.002932768890524642,0.01344354160669186,0.011221251853894857,1065.360112240104,744.64606,320.7140551111977,-179.34998,179.34998,177055.60626971294,68113.67267318441,9.213489346883847e-06,0.017816563773589995,46.6505824326136,1.8807650103996738,9968111.726820659,0.4183547204591036,2.1468534517674046e-16,2.4847370640363708e-05,-23.647118,8.833315,-14.813803,True,-6794999.019876781,1169,0.3202777777777778,698709.7768561145,4473558.145006636,,
89290,50,1,2021-09-11 12:52:00,2021-09-11 13:11:12,0 days 00:00:00,-30.66152368270525,40.38849158335096,10316.331861156918,251.80466405822727,False,0.0,0.0,0.0,758.3377641505829,192.55113026905292,0.0,228.07149,0.00025277148,25180.466405822728,1.4344835607733684,0.38462299072718636,0.00017621079059350835,1816220715089.6785,7.820746349670473e-05,-4.2182746,-40.560455,-0.15165062,0.90028447,229.6068,-3.766282,-39.38751,0.0029355710898394706,0.013270571199444062,0.0,1065.356240280917,744.86865,320.48758793716706,-179.35101,179.35101,114682.89232508367,44109.677031317566,7.907730070003986e-06,0.013720114965740843,49.20188719349387,2.123531955725164,15836893.177941162,0.8625062515077473,1.880193925862709e-16,1.784082324352159e-05,-49.13272,15.008675,-34.124046,True,0.0,1169,0.0,698484.7681269103,4473502.811817303,,
89291,60,1,2021-09-11 12:52:10,2021-09-11 13:11:12,0 days 00:19:02,-30.689530084804886,40.38285677399023,10329.363485575572,251.29802958465146,True,248.11763903492107,-0.3134148130541948,-0.949616319867242,1832.6340131112524,184.46011586955413,33281.65708494215,227.97014,0.00025074265,25129.802958465145,1.4372362521334947,0.38401978119993135,0.0001744616822348547,1795891061538.357,7.771973916270968e-05,-4.2504253,-40.518356,-0.15522695,0.905852,229.50276,-3.7985783,-39.348648,0.0029570213688575107,0.013457321931784977,0.010400979791563958,1065.3283987656914,747.2372,318.0912161485039,-179.37538,179.37538,163592.18600316942,62822.6354749556,8.911890684319952e-06,0.016841054209924836,45.789256960332885,1.8338829346682552,10977853.560215667,0.4361387600446587,2.0548791197242604e-16,2.4377676199031275e-05,-24.932192,9.133936,-15.798256,True,-7185674.691925657,1169,0.31722222222222224,696123.7884873024,4472814.749308122,,
89292,61,1,2021-09-11 12:52:11,2021-09-11 13:11:12,0 days 00:19:01,-30.69231154351513,40.3821574611872,10332.06738679905,251.19301265707588,True,231.32068528594172,-0.21492785609171636,-0.9766299282101786,1960.4959896364098,189.618235866307,36513.91712440716,227.9489,0.00025025237,25119.30126570759,1.4374356486617348,0.3838950718600141,0.00017409639966925848,1188250575312.7495,7.718944978875501e-05,-4.257076,-40.522568,-0.15561782,0.90624017,229.481,-3.8052704,-39.353386,0.002961191165153423,0.01331057963941928,0.011094468031262522,1065.3274953426949,747.47626,317.8512380184761,-179.37962,179.37962,180583.3461322633,69325.05664016702,1.0544534207415379e-05,0.022456701084618908,47.858289419431074,2.115722062643247,6580067.324937306,0.3877890273868329,3.4750649169831847e-16,2.6181639709901613e-05,-23.010887,7.3393707,-15.671516,True,-7108098.67367201,1169,0.3169444444444444,695889.6910731874,4472730.948319077,,
89293,62,1,2021-09-11 12:52:12,2021-09-11 13:11:12,0 days 00:00:00,-30.694978513944022,40.38171034505891,10334.053824807725,251.1158839576896,False,0.0,0.0,0.0,760.1226816250233,197.38080661562827,0.0,227.93341,0.00024990604,25111.58839576896,1.4376404679827515,0.3838032715519171,0.00017383069075432866,1218993767216.7185,7.752536230765735e-05,-4.2617836,-40.523064,-0.15597484,0.9066688,229.4651,-3.810065,-39.354282,0.0029644829512011483,0.013104219006147668,0.0,1065.323625988963,747.70306,317.6205620241192,-179.38239,179.38239,117836.1358994618,45225.89446524975,9.080794476446207e-06,0.017393870057731454,51.05296639769189,2.4290978322670753,10344821.288579661,0.7249649957092611,3.05918176149195e-16,1.8943728335999515e-05,-41.347473,13.82549,-27.521984,True,0.0,1169,0.0,695664.578065764,4472675.405180302,,
89294,67,1,2021-09-11 12:52:17,2021-09-11 13:11:12,0 days 00:18:55,-30.708811533198087,40.37892388667298,10342.400043761254,250.79202949627975,True,242.0950992319982,-0.23484998188406525,-0.9720316280909044,1899.638437773166,180.8567519500227,34065.649763878326,227.86838,0.00024850148,25079.202949627976,1.4387551650551262,0.3834176918581027,0.00017271978637063983,2251191598807.619,7.746255460216669e-05,-4.2822104,-40.513485,-0.15778801,0.90919465,229.39839,-3.8306715,-39.34653,0.0029779320781054253,0.01353066522267051,0.011119297165464042,1065.3097948251461,748.891,316.4188036142086,-179.4022,179.4022,164306.28131371763,62997.93513909372,8.263852849584135e-06,0.014809323366317328,44.257675761949905,1.7189333098790893,13701190.123762306,0.4436922937848882,1.5469848478516754e-16,2.420340237178968e-05,-25.658726,9.123403,-16.535324,True,-7599450.8537835935,1169,0.31527777777777777,694498.2614581351,4472335.542226707,,
