,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
723003,0,1,2021-01-30 10:37:25,2021-01-30 10:57:28,0 days 00:20:03,6.506842212835608,49.688920078750265,8751.912743550056,318.93726410971226,True,209.4781842244009,0.03718313932617778,-0.9993084679666484,1042.2052080526955,210.95217835783234,-15545.2031956792,227.45566,0.0002198973,31893.726410971227,1.7003579544589749,0.48848471932830156,0.00012932411891505274,8866947133525.047,9.16464940369311e-05,23.629406,4.860244,0.18369739,1.0051467,229.22336,22.667957,4.513066,0.0011399199035039941,0.010424241438767143,-0.0039025468261983318,522.4081519501536,,,,,142394.67738587814,69557.62401668473,5.720177561736006e-06,0.007569231718769348,46.38873081014997,2.1998175892601193,62270214.7039972,1.5530961827820555,4.3713635278869114e-17,1.6055118417702325e-05,,,,True,,1202,0.33416666666666667,752917.4136386919,5509949.852742885,,
723004,1,1,2021-01-30 10:37:26,2021-01-30 10:57:28,0 days 00:20:02,6.503933406389876,49.688990062444056,8757.623174167062,318.6683066605189,True,209.58947810796946,0.03694184769466687,-0.9993174169846656,1037.9634816580817,210.22670069406334,-15431.270713103962,227.40303,0.00021922644,31866.83066605189,1.7043715991424107,0.4881857574494662,0.00012862596194807143,8862834217003.03,9.169928082082814e-05,23.645542,4.8810353,0.18173927,1.0063933,229.16968,22.684631,4.5335155,0.0011474268877105943,0.01043382805944357,-0.00390857401285245,522.3971775386472,,,,,141316.30971347608,68988.60969743667,5.706514396545122e-06,0.007540160898537115,46.11258031957042,2.1905143949046546,62716286.85303732,1.5441661008758154,4.366867549440134e-17,1.609761539394446e-05,,,,True,,1202,0.3338888888888889,752707.3066957737,5509947.83365345,,
723005,2,1,2021-01-30 10:37:27,2021-01-30 10:57:28,0 days 00:20:01,6.501023020157334,49.68905962877702,8763.32571003759,318.399904354083,True,209.7025713421074,0.03670966389196737,-0.9993259731323603,1033.769341001089,209.5106715128746,-15319.193587353078,227.35051,0.00021855679,31839.990435408297,1.7083760259696117,0.48788724496259334,0.0001279324827200391,8860280004894.826,9.17484727583694e-05,23.66162,4.9018464,0.17979081,1.007624,229.1161,22.701246,4.553984,0.0011549362048489796,0.010443301537148345,-0.003914659091513023,522.386205107611,,,,,140254.60206823886,68428.43139639791,5.692591398078158e-06,0.0075105395518059335,45.84058122815529,2.1812622895672207,63172829.08537991,1.5354419845762834,4.3612793115442375e-17,1.6139532784504366e-05,,,,True,,1202,0.33361111111111114,752497.0885014574,5509945.771015504,,
723006,3,1,2021-01-30 10:37:28,2021-01-30 10:57:28,0 days 00:20:00,6.498111028902684,49.68912879506047,8769.016706484623,318.13222770360204,True,210.77236957880325,0.03486957570014455,-0.9993918714350702,1026.5070585155217,208.81616155357514,-15143.750663387822,227.29845,0.0002178914,31813.222770360204,1.7123207383996084,0.48758874339861585,0.00012724917429985568,8818292726472.889,9.179032082873889e-05,23.677065,4.9216995,0.17750731,1.008898,229.06302,22.717356,4.5734887,0.0011622386044993504,0.010451238842126743,-0.003905046270526719,522.3752341877715,,,,,138882.6047925582,67717.59475073004,5.682664091907315e-06,0.0074899540021185085,45.57177971630134,2.1732043830464796,63494580.47423807,1.5288329305154005,4.3769856969976605e-17,1.6196993353953105e-05,,,,True,,1202,0.3333333333333333,752286.7571414344,5509943.666681451,,
723007,4,1,2021-01-30 10:37:29,2021-01-30 10:57:28,0 days 00:19:59,6.495183897146006,49.68919482947098,8774.498470234475,317.87456465777143,True,224.61773890254563,0.07080114006856988,-0.9974904503628046,1066.2476576299125,208.10858962488052,-16544.540010884015,227.24838,0.00021725267,31787.456465777144,1.7161201226579863,0.4873011663924705,0.00012659525986226546,8707967726526.666,9.181548029659365e-05,23.691137,4.940764,0.17506287,1.0102819,229.01202,22.73214,4.5921903,0.001168903065498057,0.010459071140631847,-0.004259931446881485,522.3642814501537,,,,,139878.78894176777,68163.09700488964,5.719571450640016e-06,0.007575078547325173,45.297384774908686,2.1586540236136136,62253668.2824144,1.4902342906195543,4.4524814215135245e-17,1.65271739208145e-05,,,,True,,1202,0.33305555555555555,752075.3507606658,5509941.17157931,,
723008,5,1,2021-01-30 10:37:30,2021-01-30 10:57:28,0 days 00:19:58,6.492070301846525,49.68933776009949,8780.027745993571,317.6148395847082,True,224.6972788327164,0.07065292213859296,-0.9975009596954171,1063.2936166187112,207.5833582758684,-16461.866498379757,227.1978,0.00021660668,31761.48395847082,1.7199506565699156,0.487011409326474,0.0001259377316637153,8707441681585.398,9.184941305468125e-05,23.704668,4.960106,0.17256792,1.0118372,228.96048,22.746405,4.6111493,0.0011757832841411187,0.010463332437336827,-0.004265969230565654,522.3510172685251,,,,,139116.76893125605,67751.45369815645,5.708852575437829e-06,0.00755258019910336,45.0873895181621,2.150988309067751,62590884.97007965,1.4833191172507723,4.446859202695519e-17,1.6553606185918612e-05,,,,True,,1202,0.3327777777777778,751850.1019752128,5509946.605691436,,
723009,6,1,2021-01-30 10:37:31,2021-01-30 10:57:28,0 days 00:19:57,6.488955558345452,49.68948044208415,8785.548190300295,317.3557008012318,True,227.60773742453316,0.06520505739034013,-0.9978718858103591,1049.5255902092597,207.0762065931143,-16179.243208390879,227.14731,0.00021596193,31735.570080123183,1.7237727722014662,0.4867222182788784,0.0001252844551420198,8598047385804.701,9.188845632421963e-05,23.718124,4.9794636,0.17008582,1.0133759,228.90906,22.760595,4.6301236,0.001182455206586326,0.010467279806836103,-0.0042210725348624705,522.3377524344905,,,,,137118.81300716984,66738.77283461644,5.705063259796435e-06,0.007545766722610165,44.88427709848371,2.1451638622749307,62705089.092006035,1.4800640621158316,4.501602240334173e-17,1.6642420380933156e-05,,,,True,,1202,0.3325,751624.7728798806,5509952.017668803,,
723010,7,1,2021-01-30 10:37:32,2021-01-30 10:57:28,0 days 00:19:56,6.4857988327725025,49.68961384325697,8789.588521084126,317.1661495183522,True,259.41937778349546,0.015042351556924259,-0.9998868574291984,947.9509519466317,209.93421017717063,-14367.067434094844,227.10962,0.0002154935,31716.61495183522,1.7267498742798264,0.48651224341761046,0.0001247971750932278,4864253776909.717,9.171911247786668e-05,23.724422,4.996505,0.16776033,1.0155247,228.87071,22.767471,4.6467147,0.0011871668092140908,0.010409221816376341,-0.003720245522095163,522.3245546774411,,,,,127596.41272547218,62077.21700710881,6.729342571386486e-06,0.010009347613041593,45.87591023956214,2.322605638791382,38122182.849884,1.3444642831349731,8.927964240963598e-17,1.792467855740854e-05,,,,True,,1202,0.3322222222222222,751396.4657487122,5509956.266874074,,
723011,8,1,2021-01-30 10:37:33,2021-01-30 10:57:28,0 days 00:19:55,6.482196731912097,49.689648844531874,8777.901360077409,317.71470135338836,True,224.8992578096776,0.03158246153908047,-0.9995011496357232,1070.1510665924543,249.964077706236,-17490.382973980526,227.20775,0.0002168983,31771.470135338837,1.720765549012737,0.48714320223634633,0.000126047563404295,598765367617.9248,9.047005487176462e-05,23.654896,4.9886055,0.16695543,1.024412,228.97124,22.696877,4.637653,0.0011700983514441531,0.009765673999157983,-0.0036470972458291073,522.3120902280001,,,,,179059.45593029365,87227.59675258119,1.5082779465067243e-05,0.03977115702184327,61.01792348440084,4.988184711788992,3343947.2074070144,0.7270841493482417,1.2699118821890671e-15,2.314518500074083e-05,,,,True,,1202,0.33194444444444443,751136.5532042632,5509948.098762343,,
723012,9,1,2021-01-30 10:37:34,2021-01-30 10:57:28,0 days 00:19:54,6.479072786300094,49.68971266138812,8783.012770062021,317.47469635253924,True,224.96609131755994,0.03145550036545167,-0.999505153311757,1070.1461784593923,249.85888951052468,-17497.43816701673,227.16075,0.00021630446,31747.469635253925,1.7243919039508875,0.48687590100637057,0.00012543810663861454,598445377364.6075,9.050672259942609e-05,23.666374,5.00782,0.16447274,1.0261042,228.92337,22.709034,4.6564517,0.0011763284856081669,0.009762461042830956,-0.0036502876185431155,522.3005359279105,,,,,178927.35906705933,87115.4191604649,1.5081034583695837e-05,0.039771877560902356,60.94652167406022,4.98140901563419,3344627.5655380297,0.7265307732384723,1.2705784155125946e-15,2.3140915902338332e-05,,,,True,,1202,0.33166666666666667,750910.9700960844,5509944.744147308,,
723013,10,1,2021-01-30 10:37:35,2021-01-30 10:57:28,0 days 00:19:53,6.475947894105246,49.689776240440864,8788.120527517527,317.23500952656696,True,224.7982417971427,0.03174670367685157,-0.9994959463677949,1071.1289468434618,249.75473285748154,-17523.281453682182,227.11382,0.00021571117,31723.500952656694,1.7280042577144448,0.486608860592048,0.0001248325477137459,598770126174.063,9.053995570356321e-05,23.677809,5.027058,0.16200168,1.0277787,228.87556,22.721148,4.675274,0.001182561502464523,0.009759235357072538,-0.0036572609652423616,522.2889813391268,,,,,178951.0550962585,87079.16902213515,1.5078060958529959e-05,0.039767052121744896,60.875598700871755,4.97403161550708,3345999.417840717,0.7259716954835945,1.2697551542333465e-15,2.3126557652870528e-05,,,,True,,1202,0.3313888888888889,750685.3204274087,5509941.369342253,,
723014,11,1,2021-01-30 10:37:36,2021-01-30 10:57:28,0 days 00:19:52,6.472825439236175,49.68984035896392,8793.47552961741,316.9838778503045,True,195.52001511114565,0.09173411846105867,-0.995783536472748,1196.964198324976,248.76229904283875,-20105.4648978378,227.06476,0.00021508863,31698.387785030453,1.731756967880224,0.48632869759545333,0.00012420254831057,690282826267.9596,9.058286967998495e-05,23.690392,5.0467367,0.1595161,1.0293311,228.82559,22.734436,4.6945477,0.0011891246866301232,0.00976859535752286,-0.004203637318468793,522.2774202203202,,,,,196804.63400212367,95711.74133500268,1.4842558172173991e-05,0.038719594897614215,60.45068744800903,4.830713795235417,3507452.0971925436,0.7257277973860923,1.0893134444903654e-15,2.208839832094547e-05,,,,True,,1202,0.33111111111111113,750459.8441957774,5509938.072037496,,
723015,12,1,2021-01-30 10:37:37,2021-01-30 10:57:28,0 days 00:19:51,6.470134530235981,49.69000069570067,8814.411157931467,316.00361136272244,True,217.0438330361343,0.06764358073031046,-0.9977095499121886,1061.3379388801823,211.13773654886455,-16574.141302027147,226.88148,0.00021261381,31600.361136272244,1.7442908826426933,0.4852163793975947,0.0001218912599165402,4405267584064.048,9.167381783819066e-05,23.777782,5.0913177,0.15561005,1.0240726,228.63838,22.824158,4.7394314,0.0012172902737066238,0.010362317501564203,-0.004236639139505354,522.2651257358019,,,,,141882.81008806176,68843.86340968586,7.198247439020221e-06,0.011243102784478771,46.1943241951445,2.3799763600492674,31048635.006100107,1.1849902640292451,1.0319289634718578e-16,1.741835055389424e-05,,,,True,,1202,0.3308333333333333,750264.9907340396,5509946.917122642,,
723016,13,1,2021-01-30 10:37:38,2021-01-30 10:57:28,0 days 00:19:50,6.46712517056514,49.69013264879679,8819.62980261913,315.7596419820531,True,217.0978308658187,0.06753144411166821,-0.9977171463176288,1060.3327423477394,210.8952106981356,-16548.34133405989,226.83385,0.00021200562,31575.96419820531,1.7478781040917977,0.48494360253527913,0.00012129313569005487,4398562495182.044,9.168387257286452e-05,23.790085,5.110024,0.15330149,1.0254682,228.58986,22.837152,4.757765,0.0012236512972495462,0.010361506561801754,-0.004240731436756874,522.2524238783667,,,,,141544.46949979867,68641.0849581773,7.195088257379088e-06,0.011237140068339736,46.084655034917915,2.374267590152593,31075481.159568023,1.1840522468610306,1.0329397725717922e-16,1.742274698421398e-05,,,,True,,1202,0.33055555555555555,750047.322292458,5509951.55356876,,
723017,14,1,2021-01-30 10:37:39,2021-01-30 10:57:28,0 days 00:19:49,6.464115033038581,49.690264415761725,8824.855481525386,315.51549660449894,True,212.64190774623268,0.0765539097449572,-0.997065443640868,1077.7052374771629,210.6174205660855,-16867.82128150696,226.78616,0.00021139675,31551.549660449895,1.751468413071712,0.48467052795969434,0.0001206968665757815,4486241438665.033,9.168092080732322e-05,23.802393,5.1287704,0.15100305,1.0268421,228.54129,22.850153,4.776138,0.0012300151234995837,0.010361359286773005,-0.004331487793627671,522.2397213376213,,,,,143347.5601408783,69476.33765521353,7.176705064339331e-06,0.011190558063964578,45.96267672341779,2.364281258174388,31296252.508630563,1.1869852150784364,1.0105353182219739e-16,1.732080548750502e-05,,,,True,,1202,0.3302777777777778,749829.5997826756,5509956.175471357,,
723018,15,1,2021-01-30 10:37:40,2021-01-30 10:57:28,0 days 00:19:48,6.46116960048505,49.69041067750735,8832.406816930157,315.162965874377,True,216.13831266864105,0.06931124029996563,-0.997595084173975,1054.0556118548548,205.17326708302204,-16208.028575685148,226.71854,0.00021051223,31516.2965874377,1.756344079736029,0.4842733902955104,0.00011985819189860008,8680249843250.137,9.206302597814665e-05,23.82581,5.151256,0.14850976,1.0271727,228.4723,22.874504,4.798357,0.001239764433144046,0.010456390652192817,-0.004307514431066971,522.2269055713911,,,,,135938.15176383013,65831.22962517563,5.6646839028064995e-06,0.007469433712212455,44.01729478807177,2.09533206732776,63854405.3352338,1.448536474424654,4.4313651461496044e-17,1.6559706101006548e-05,,,,True,,1202,0.33,749616.4695735048,5509962.632322786,,
723019,16,1,2021-01-30 10:37:41,2021-01-30 10:57:28,0 days 00:19:47,6.458173194264532,49.690545317178206,8837.837775208269,314.90962124334806,True,221.56855084700973,0.033647994301812534,-0.9994337459178898,1008.1048400789238,204.9166183408686,-14749.561372411059,226.66916,0.00020987936,31490.962124334805,1.7600235103226538,0.48398952951167507,0.00011924804511117786,8690788405268.865,9.207399057812218e-05,23.839075,5.1703424,0.1462248,1.0284032,228.422,22.888483,4.817083,0.0012464622394517733,0.010455746749709784,-0.003969920979601032,522.2141794916481,,,,,133173.2035728017,64454.43614076282,5.622863656528392e-06,0.0073770738313032195,43.90453846704504,2.0966111439252697,65259287.6953499,1.4785420377522431,4.4017183303766525e-17,1.633436235906488e-05,,,,True,,1202,0.32972222222222225,749399.7246214557,5509967.636427467,,
723020,17,1,2021-01-30 10:37:42,2021-01-30 10:57:28,0 days 00:19:46,6.455095791944387,49.69061230135712,8843.26296864675,314.65671019942687,True,221.63625735020636,0.0335250469562824,-0.9994378776225058,1005.8688765146331,204.47898735522725,-14692.580363045643,226.61977,0.00020925005,31465.671019942685,1.7637402162176081,0.4837062405895385,0.00011863994986657744,8690023122668.49,9.207323106868853e-05,23.851957,5.1901474,0.14385404,1.0297195,228.37169,22.902071,4.8364987,0.0012530569711148587,0.010458793186522318,-0.0039757149491389905,522.2026873219371,,,,,132562.71323108036,64121.411659354955,5.61331215532731e-06,0.007357341717142095,43.729946571199804,2.0899243178777636,65554052.95243344,1.4738401297829236,4.3951913843347265e-17,1.6355020086168194e-05,,,,True,,1202,0.32944444444444443,749177.4867797466,5509964.860684279,,
723021,18,1,2021-01-30 10:37:43,2021-01-30 10:57:28,0 days 00:19:45,6.452017429692262,49.69067906106903,8848.682200164441,314.4042413147498,True,223.66135788105402,0.0299786030994198,-0.9995505406712597,996.5579375346861,204.053117460941,-14509.860944896784,226.57045,0.00020862161,31440.42413147498,1.7674401508800266,0.4834233337850548,0.00011803602612218375,8612663164486.621,9.20756148745087e-05,23.86478,5.2099724,0.14149557,1.0310186,228.32144,22.9156,4.8559346,0.0012597598019848987,0.010461631461739299,-0.003948278256295873,522.1911945938507,,,,,131133.79206931213,63393.13493402305,5.608720734231467e-06,0.007348733707210097,43.55980081114896,2.084346508824152,65678442.05965087,1.4707040927796255,4.430628969264771e-17,1.6423885608906855e-05,,,,True,,1202,0.32916666666666666,748955.1813638767,5509962.065932766,,
