,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
557393,99,1,2019-03-20 01:40:12,2019-03-20 01:58:36,0 days 00:18:24,134.67318097880184,32.86008522855299,10878.185598109065,230.69825947216634,True,237.37211410370904,-0.12368870163486372,-0.9923210695575709,811.9070372260503,149.83993534734174,7041.163330620618,221.89447,9.464294e-05,23069.825947216636,1.042414298892185,0.36219321278088557,9.079206109671435e-05,3967479187032.0522,8.276774002062245e-08,57.20933,-15.2552805,0.16899021,0.041491114,223.1843,55.7288,-15.142781,0.004862701142373567,0.017273519661812446,0.003429117221876246,1093.620676831915,958.1583,135.46235163660253,-243.8949,243.8949,84689.1433930196,30673.83293317888,5.502400283697636e-07,0.0003264028322020089,38.78251709728687,0.8598653556810504,46847553.6305763,0.013214133476950187,2.932718641826666e-20,1.3786252277092816e-05,-1.1964327,0.13866352,-1.0577692,True,-204539.81343131931,1202,0.30666666666666664,1031158.8634753171,3650072.819715292,,
557394,100,1,2019-03-20 01:40:13,2019-03-20 01:58:36,0 days 00:18:23,134.6706592323875,32.85982116989785,10878.4825316719,230.68749691412043,True,243.939686685025,-0.11941798421138919,-0.9928440688481189,804.8194265647539,149.6348156970728,6831.79349771622,221.89209,9.463477e-05,23068.749691412042,1.0425860120391832,0.36218020274520546,9.076927056369383e-05,3987336087988.642,1.0978115453501335e-07,57.208492,-15.247096,0.16868937,0.04132798,223.18214,55.72814,-15.135295,0.004861031873865329,0.017280116623768764,0.003349731939118398,1093.6085552623288,958.11395,135.49460262561,-243.88026,243.88026,84283.31564083036,30525.748346834087,6.025842484287956e-07,0.0003660041433589747,38.691180030068246,0.8621523698512815,47308723.650366336,0.01607394829947009,3.962961009918121e-20,1.3834670614828509e-05,-1.4546767,0.18377104,-1.2709057,True,-250023.90966671408,1202,0.3063888888888889,1030924.023578181,3650030.7466200073,,
557395,101,1,2019-03-20 01:40:14,2019-03-20 01:58:36,0 days 00:18:22,134.66806635724282,32.859559173403284,10878.838123289323,230.67460879014368,True,243.95231845856637,-0.11946455091330176,-0.992838466758356,802.2763441954305,149.4108309077499,6782.025257012424,221.8893,9.46201e-05,23067.46087901437,1.0427295961972576,0.362164521583079,9.074270436671993e-05,4002317910406.633,1.3607538984330753e-07,57.20798,-15.238725,0.16838516,0.04114795,223.17957,55.72783,-15.127636,0.0048594902267126375,0.017287356897986297,0.0033439847262415733,1093.595970542137,958.06793,135.52803841323066,-243.86499,243.86499,83948.69565122656,30403.23919804997,6.456194993871543e-07,0.0003992460912007631,38.591597808451155,0.8640111127811408,47675760.52681833,0.018132808957680345,4.982185085997645e-20,1.3886901144125089e-05,-1.6403009,0.22117677,-1.4191241,True,-278092.7123936923,1202,0.3061111111111111,1030682.5018120008,3649988.5492998846,,
557396,102,1,2019-03-20 01:40:15,2019-03-20 01:58:36,0 days 00:18:21,134.66547337011468,32.8592970611803,10879.192999714087,230.66174716902447,True,244.10930677536632,-0.11940698335594445,-0.9928453919547763,799.5177389853769,149.1877175212876,6728.927276183157,221.88652,9.4605566e-05,23066.174716902446,1.0428724855919815,0.3621488594267544,9.071633150350251e-05,4014868736102.2046,1.6217661717516567e-07,57.207462,-15.230351,0.16808055,0.040968463,223.177,55.72751,-15.119976,0.004857948495056235,0.0172945801930168,0.0033364343009678545,1093.5833842182296,958.02185,135.56153363229214,-243.84972,243.84972,83597.78107902913,30274.841068377908,6.828315895177175e-07,0.00042846139063104893,38.49250400155082,0.8656581692455156,48026020.35940105,0.019665351228289555,6.005981795030605e-20,1.3939668661273367e-05,-1.7782272,0.25276816,-1.525459,True,-298007.37349663925,1202,0.30583333333333335,1030440.9692268238,3649946.344719012,,
557397,103,1,2019-03-20 01:40:16,2019-03-20 01:58:36,0 days 00:00:00,134.66287870384713,32.85903490663341,10879.54360281879,230.64904099409466,False,0.0,0.0,0.0,687.5846632874485,149.01309699499788,0.0,221.88376,9.45916e-05,23064.904099409465,1.0430203930433906,0.3621334187289217,9.069008064183376e-05,4212181287440.997,1.5047522323872109e-07,57.206905,-15.221971,0.16777503,0.040790413,223.17445,55.72715,-15.112308,0.004856405902801555,0.017299615354526832,-0.0,1093.5707857827217,957.9758,135.5949557045967,-243.83444,243.83444,80471.20476770717,29141.3124917649,6.471471381620204e-07,0.00040044858820158203,38.413628220005286,0.8668266338197721,52343957.06638323,0.022344391969131613,5.237839580104135e-20,1.4453720608301978e-05,-2.021593,0.2730555,-1.7485375,True,0.0,1202,0.0,1030199.278457031,3649904.133126953,,
557398,111,1,2019-03-20 01:40:24,2019-03-20 01:58:36,0 days 00:18:12,134.64205426215585,32.85693825883957,10880.038028285968,230.63112352932114,True,237.2868974441495,-0.12446840756056293,-0.9922235713383035,798.5229290199453,149.7229485731062,6731.845672829407,221.87689,9.475476e-05,23063.112352932116,1.0456357166048642,0.36211650263813155,9.061928368073295e-05,3990120391701.4497,4.844871918936435e-07,57.18481,-15.153469,0.16508959,0.039971467,223.16972,55.70618,-15.049486,0.004840340891373956,0.017249537026448415,0.003342388072295284,1093.4694945211884,957.6058,135.86372059540713,-243.71196,243.71196,83833.99778384702,30357.674079659555,9.863603739991896e-07,0.0006810501716872499,38.66822044723789,0.8805386978531898,47595492.24873371,0.02266975854847263,1.9864151683196291e-19,1.4053106619339834e-05,-2.0417316,0.40859964,-1.633132,True,-309464.86754388886,1202,0.30333333333333334,1028259.4203112443,3649566.3905445137,,
557399,112,1,2019-03-20 01:40:25,2019-03-20 01:58:36,0 days 00:18:11,134.63953375841254,32.856672631212156,10880.351030730773,230.61978122882152,True,243.12139788036146,-0.12068500127300626,-0.992690853422018,792.9521506373519,149.50290989335966,6542.845363519846,221.8744,9.474496e-05,23061.978122882152,1.045799932992015,0.36210273594052983,9.059568271701142e-05,4022413877836.477,5.117660993532355e-07,57.184063,-15.145302,0.16478679,0.039806757,223.16745,55.70561,-15.042013,0.0048387893139261,0.017256897673309533,0.0032714741337438826,1093.4573725307087,957.5614,135.89597116352115,-243.69745,243.69745,83540.74117172914,30250.330940782784,1.0006579456717723e-06,0.0006935214184917574,38.57109918728613,0.8814575064419787,48149128.4541978,0.023234826664640534,2.0891648503903368e-19,1.4075772647936455e-05,-2.0922148,0.42423928,-1.6679755,True,-321595.3352459703,1202,0.3030555555555556,1028024.6941143927,3649524.22134178,,
557400,113,1,2019-03-20 01:40:26,2019-03-20 01:58:36,0 days 00:18:10,134.6369500734446,32.85640874371399,10880.812076971088,230.603075073342,True,243.69856995616297,-0.12031428566030325,-0.9927358524129422,789.1635634573319,149.2275248039839,6475.388433234554,221.87093,9.471816e-05,23060.3075073342,1.0458843199306267,0.36208219028280886,9.056275130810448e-05,4030382895422.5703,5.321184566217777e-07,57.18433,-15.137014,0.16449012,0.03960288,223.16417,55.70609,-15.034436,0.004837385448262523,0.017266338030080854,0.0032589930735589306,1093.444839369931,957.5156,135.92921436993106,-243.68237,243.68237,83063.10850776259,30075.672260189294,1.0111287787290698e-06,0.0007026910258872074,38.450156345400046,0.882030310304877,48521936.727734126,0.02359569433629363,2.1737471713552284e-19,1.4135579036048748e-05,-2.1243503,0.43487602,-1.6894743,True,-324948.5383157559,1202,0.30277777777777776,1027784.0330437211,3649481.9340431537,,
557401,114,1,2019-03-20 01:40:27,2019-03-20 01:58:36,0 days 00:18:09,134.63436014376578,32.856145041986956,10881.203038585329,230.58890922415824,True,243.7017250786849,-0.12035792717321779,-0.9927305623212003,786.462155984092,148.9563815414134,6423.329075768002,221.86789,9.469974e-05,23058.890922415823,1.0460113284382977,0.3620648998727392,9.053414266519618e-05,4048115961782.1147,5.569508865220008e-07,57.18406,-15.128671,0.16418566,0.03941725,223.16135,55.706013,-15.026803,0.004835850781081774,0.017275840145413005,0.003253570210185276,1093.432263263443,957.46967,135.96259773609927,-243.66725,243.66725,82684.18213844021,29937.040127013686,1.0235403225354931e-06,0.0007135880740236843,38.331640337246455,0.8826965968043663,48958771.27990759,0.024072292033357867,2.272348410077724e-19,1.4183159041325722e-05,-2.1668625,0.4485403,-1.7183222,True,-329391.98976992565,1202,0.3025,1027542.7843773515,3649439.6421574606,,
557402,115,1,2019-03-20 01:40:28,2019-03-20 01:58:36,0 days 00:00:00,134.63177020215824,32.855881241212295,10881.59981769132,230.57453330820698,False,0.0,0.0,0.0,682.2772592299652,148.78890034890043,0.0,221.86484,9.468068e-05,23057.4533308207,1.0461350524118773,0.3620473013500744,9.050522003537228e-05,4054191597617.484,5.465814824792643e-07,57.183823,-15.120329,0.16388144,0.03923053,223.1585,55.70598,-15.019171,0.0048344326896591384,0.017280556089100816,-0.0,1093.4196859608435,957.42377,135.99591887099973,-243.65213,243.65213,79729.91693012776,28866.00126141836,1.0043685584764037e-06,0.0006967994685867561,38.25593158389893,0.8860244415468159,50849063.35937139,0.027296163766290675,2.2157082583648423e-19,1.4706414970487413e-05,-2.4580193,0.49982154,-1.9581977,True,0.0,1202,0.0,1027301.5341580873,3649397.345354294,,
