icao_code,airframe_type,airline,registration,icao24,engine,engine_uid,fuel,bpr,bpr_type,iagos_number
A343,A340-313,Lufthansa,D-AIGT,3C64F4,CFM56-5C4,2CM015,jet-A,6.4,mixed,1
A343,A340-313,China Airlines,B-18806,899118,Trent 772B-60,2CM015,jet-A,5,mixed,2
A343,A340-313,Air France,F-GLZU,392F34,Trent 772B-60,2CM015,jet-A,5,mixed,3
A333,A330-343,Cathay Pacific,B-HLR,780192,Trent 772B-60,01P14RR101,jet-A,5,mixed,4
A343,A340-313,Iberia,EC-GUQ,34114E,Trent 772B-60,2CM015,jet-A,5,mixed,5
A333,A330-343,Lufthansa,D-AIKO,3C656F,Trent 772B-60,01P14RR102,jet-A,5,mixed,6
A333,A330-302,China Airlines,B-18317,8991BE,CF6-80E1A4,1GE033,jet-A,5.1,unmixed,7
A332,A330-243,Hawaiian Airlines,N384HA,A46AD6,Trent 772B-60,01P14RR102,jet-A,5,mixed,8
A332,A330-203,Air France,F-GZCO,39644E,CF6-80E1A3,5GE085,jet-A,5.1,unmixed,9
A333,A330-302,China Airlines,B-18316,8991BD,CF6-80E1A4,1GE033,jet-A,5.1,unmixed,10
A333,A330-343,Lufthansa,D-AIKE,3C6565,Trent 772B-60,01P14RR101,jet-A,5,mixed,11
A333,A330-343,Air Canada,C-GEFA,C04FBB,Trent 772B-60,01P14RR101,jet-A,5,mixed,12
A330,A330-202,Iberia,EC-MSY,3455C1,CF6-80E1A4,5GE085,jet-A,5.1,unmixed,13
